ID No,Prog Code,Gender,YoG,CGPA,CGPA100,CGPA200,CGPA300,CGPA400
39708,CIS,Male,2010,2.20,2.85,1.86,1.66,2.29
41932,CIS,Female,2010,4.78,4.87,4.81,4.66,4.74
90694,CIS,Male,2010,2.81,3.19,2.58,3.06,2.44
66757,CIS,Male,2010,3.79,4.00,3.33,3.48,4.24
53027,CIS,Male,2010,3.88,3.66,3.84,3.69,4.31
24569,CIS,Male,2010,4.75,4.91,4.70,4.69,4.64
66662,CIS,Female,2010,3.27,2.94,3.13,3.72,3.48
73532,CIS,Female,2010,4.70,4.91,4.67,4.48,4.64
80757,CIS,Female,2010,3.02,2.53,2.70,3.29,3.71
71321,CIS,Male,2010,3.36,3.62,3.02,3.31,3.45
94724,CIS,Female,2010,3.81,3.55,4.18,3.77,3.72
44646,CIS,Female,2010,3.39,2.68,3.45,3.90,3.74
87905,CIS,Male,2010,3.41,3.89,3.15,3.69,2.98
68313,CIS,Male,2010,3.67,3.53,3.72,3.55,3.86
90584,CIS,Male,2010,3.48,3.51,3.21,3.52,3.71
96676,CIS,Male,2010,2.55,3.30,2.61,2.06,2.21
68321,CIS,Male,2010,3.43,3.45,3.30,3.48,3.51
78809,CIS,Female,2010,3.18,3.43,3.13,3.10,3.02
91301,CIS,Male,2010,2.17,2.36,2.37,2.45,1.70
90318,CIS,Male,2010,3.51,3.87,3.44,3.48,3.22
82681,CIS,Male,2010,3.44,3.83,3.26,2.72,3.70
40720,CIS,Male,2010,3.03,4.06,2.79,2.68,2.56
32115,CIS,Female,2011,2.62,2.61,2.44,2.26,3.08
87965,CIS,Female,2011,4.22,4.32,4.23,3.87,4.14
95071,CIS,Male,2011,2.43,2.89,1.84,2.10,2.74
72615,CIS,Male,2011,2.81,3.04,2.65,2.77,2.79
86281,CIS,Male,2011,3.68,3.72,3.42,3.93,3.71
34417,CIS,Female,2011,3.75,3.66,3.74,4.00,3.69
91820,CIS,Male,2011,2.46,2.81,2.43,2.66,2.15
78519,CIS,Male,2011,2.92,3.47,2.43,3.24,2.72
92199,CIS,Female,2011,4.44,3.66,4.86,4.59,4.79
71023,CIS,Male,2012,3.19,3.40,2.22,3.55,2.60
88938,CIS,Female,2011,3.89,3.72,3.88,4.31,3.79
73432,CIS,Male,2011,3.13,2.83,2.88,2.97,3.65
23836,CIS,Male,2011,4.00,4.00,4.30,3.66,3.93
42007,CIS,Male,2011,3.16,3.40,2.91,3.21,3.14
47144,CIS,Male,2011,2.59,2.57,2.22,2.78,2.76
74708,CIS,Female,2011,4.57,4.28,4.56,4.62,4.86
40057,CIS,Male,2011,2.79,2.79,2.67,2.90,2.86
71396,CIS,Male,2011,2.76,2.81,2.62,3.17,2.58
66947,CIS,Male,2011,2.70,3.09,2.20,2.79,2.72
